transaction_id,customer_id,transaction_date,amount,status,country
100001,6050,2020-12-03,11882.92,Completed,Canada
100002,3216,2024-05-05,9513.66,Active,Canada
100003,9645,2019-02-04,14640.97,Completed,India
100004,5775,2024-08-07,7937.4,Closed,Australia
100005,4816,2022-02-12,11986.44,Closed,UK
100006,5234,2018-08-22,9264.21,Active,Canada
100007,5560,2018-01-10,11508.34,Pending,Canada
100008,8377,2026-01-05,6719.36,Active,USA
100009,1206,2022-07-20,5841.95,Pending,USA
100010,4061,2025-11-09,13881.72,Pending,Canada
100011,4483,2025-05-31,1131.19,Pending,UK
100012,4909,2018-05-22,2350.23,Completed,UK
100013,4251,2021-02-23,7322.74,Completed,UK
100014,2162,2020-12-10,5861.19,Pending,Australia
100015,2291,2025-06-14,1995.15,Pending,Australia
100016,4829,2019-09-11,2862.82,Pending,Canada
100017,1236,2024-10-18,9274.83,Completed,Canada
100018,9771,2019-02-19,14834.21,Active,USA
100019,8271,2018-12-06,9255.99,Closed,Canada
100020,8957,2023-10-24,148.36,Active,Australia
100021,4285,2024-12-28,7285.67,Completed,Canada
100022,5002,2024-05-09,4109.24,Active,Australia
100023,9157,2023-08-27,5005.42,Completed,Canada
100024,2716,2022-03-01,6524.07,Completed,India
100025,3183,2024-07-01,5722.06,Completed,UK
100026,8558,2025-06-08,14722.3,Closed,Australia
100027,3022,2018-08-05,8747.71,Closed,USA
100028,5559,2022-02-14,9245.79,Closed,Australia
100029,4456,2017-02-26,14408.29,Active,UK
100030,9767,2021-03-29,10040.44,Completed,India
100031,8127,2021-03-12,11872.01,Active,USA
100032,6192,2022-04-30,13106.01,Active,Canada
100033,7334,2025-06-22,7179.11,Completed,Australia
100034,8214,2024-03-05,3742.4,Active,Australia
100035,4545,2025-03-14,6442.39,Active,India
100036,9118,2024-09-23,9897.17,Pending,Canada
100037,1476,2022-07-16,12139.31,Completed,UK
100038,1674,2019-08-23,11411.03,Pending,India
100039,7683,2022-11-17,13588.85,Pending,India
100040,1208,2019-10-19,13352.57,Completed,UK
100041,6527,2017-12-20,154.87,Pending,UK
100042,2382,2021-01-18,4037.13,Closed,India
100043,5398,2025-10-20,5347.96,Active,Australia
100044,8587,2019-10-05,9272.82,Active,Canada
100045,9805,2024-08-17,12183.2,Completed,Australia
100046,1607,2018-05-10,12265.02,Active,USA
100047,6242,2019-04-26,14048.25,Pending,UK
100048,6962,2019-02-03,4125.44,Pending,India
100049,1630,2022-03-04,14696.57,Active,Canada
100050,6296,2022-12-30,11285.75,Active,Canada
100051,7818,2024-12-24,1937.95,Active,USA
100052,9258,2020-01-28,1785.54,Closed,India
100053,8337,2025-12-18,5458.94,Closed,Australia
100054,3418,2026-02-18,4332.04,Active,Canada
100055,7757,2024-03-20,1101.55,Active,India
100056,7781,2025-07-21,14657.64,Pending,India
100057,8052,2024-11-17,8175.32,Completed,India
100058,2340,2022-05-31,6406.44,Pending,Canada
100059,4479,2022-12-22,4162.43,Completed,Canada
100060,4703,2026-03-01,3811.5,Pending,UK
100061,8076,2018-08-04,12768.38,Pending,USA
100062,3628,2023-05-15,13327.86,Completed,UK
100063,4039,2021-09-11,4526.57,Completed,UK
100064,1794,2025-09-03,12981.28,Completed,Australia
100065,9182,2021-04-17,11767.9,Closed,Australia
100066,6376,2025-07-16,4855.14,Pending,Canada
100067,5393,2025-12-30,10907.03,Pending,India
100068,3188,2024-08-09,8148.17,Completed,Australia
100069,4052,2022-06-15,6709.28,Completed,Australia
100070,8134,2023-11-15,6002.17,Closed,Australia
100071,9751,2022-11-07,8691.55,Closed,UK
100072,3523,2019-08-23,8549.85,Completed,Australia
100073,8694,2019-04-17,1301.39,Completed,Australia
100074,5751,2018-08-20,1650.68,Closed,UK
100075,3895,2021-12-16,10146.15,Completed,UK
100076,1443,2023-08-22,3092.16,Closed,India
100077,5056,2026-01-14,5884.89,Active,USA
100078,4065,2023-03-20,4933.39,Pending,USA
100079,8159,2017-06-24,1785.62,Active,Australia
100080,2148,2019-12-30,12400.95,Active,USA
100081,3517,2019-09-01,266.25,Closed,Australia
100082,7936,2020-11-15,4659.38,Completed,Australia
100083,3054,2021-04-28,247.99,Pending,UK
100084,4620,2018-09-08,11553.56,Closed,Canada
100085,9434,2019-03-21,10483.26,Completed,UK
100086,5853,2025-03-04,10105.78,Active,USA
100087,9283,2025-03-16,13380.91,Completed,UK
100088,6848,2025-08-09,8432.95,Completed,UK
100089,4762,2024-11-27,6713.21,Pending,Australia
100090,1139,2017-03-16,13053.63,Active,India
100091,3463,2025-10-17,7428.61,Active,Australia
100092,2351,2024-01-12,4057.12,Completed,Australia
100093,8865,2022-06-16,14671.0,Active,Canada
100094,4580,2022-06-02,13631.7,Completed,Australia
100095,9598,2021-03-16,8068.11,Closed,Australia
100096,4799,2018-12-23,8278.5,Closed,Australia
100097,6055,2020-10-06,1643.37,Completed,Australia
100098,5827,2017-10-26,13262.45,Active,Canada
100099,6898,2019-07-01,7821.28,Completed,India
100100,6151,2019-02-16,5170.71,Closed,USA
100101,8647,2018-08-21,6697.27,Closed,India
100102,7049,2018-01-22,6739.06,Active,India
100103,8879,2022-12-08,6768.92,Completed,UK
100104,8936,2021-03-02,14614.66,Active,USA
100105,5020,2021-10-16,10865.06,Completed,Australia
100106,4811,2019-08-02,2690.61,Active,UK
100107,7851,2025-08-18,8546.34,Completed,India
100108,4537,2018-09-14,14500.57,Pending,USA
100109,9918,2023-07-16,1170.2,Closed,Canada
100110,4234,2022-10-20,13880.77,Active,Canada
100111,7532,2019-06-16,837.93,Closed,UK
100112,9449,2021-04-05,4238.97,Closed,Canada
100113,9911,2020-03-29,3921.04,Pending,Canada
100114,4485,2024-04-24,12984.31,Active,India
100115,4745,2018-04-22,592.95,Active,Australia
100116,1247,2018-04-21,4918.91,Completed,USA
100117,1080,2024-10-22,5031.06,Pending,Canada
100118,9201,2023-09-17,8311.27,Pending,UK
100119,2341,2025-06-30,4681.0,Completed,Australia
100120,4684,2024-10-03,1247.97,Active,Canada
100121,8779,2019-02-17,7210.18,Pending,India
100122,1897,2023-09-07,14512.7,Completed,Canada
100123,8249,2025-03-08,7487.57,Active,USA
100124,1241,2026-02-07,7979.03,Completed,Canada
100125,4488,2023-01-21,8445.48,Completed,India
100126,1929,2018-10-28,12969.83,Active,UK
100127,2614,2019-04-21,10428.74,Active,Australia
100128,8782,2022-05-19,2187.04,Closed,USA
100129,5256,2018-08-23,457.42,Closed,India
100130,9427,2018-07-10,2105.07,Active,Canada
100131,4114,2018-04-21,1830.78,Completed,UK
100132,2942,2021-02-21,9060.3,Completed,UK
100133,8130,2019-06-02,7195.84,Completed,Australia
100134,5211,2024-01-20,10625.8,Closed,USA
100135,3361,2019-05-08,7813.08,Closed,Australia
100136,1349,2022-03-06,14979.55,Active,USA
100137,2774,2018-06-28,12132.04,Completed,UK
100138,8637,2023-12-29,8304.65,Completed,UK
100139,7578,2023-05-23,10645.2,Pending,India
100140,8677,2021-02-03,1443.83,Completed,UK
100141,4541,2019-04-25,1800.93,Closed,Australia
100142,8291,2025-08-07,7333.06,Active,UK
100143,4767,2021-12-28,7844.01,Pending,India
100144,9477,2019-07-09,1395.95,Active,Australia
100145,3322,2023-04-11,3893.43,Completed,India
100146,1663,2024-01-08,10380.53,Active,Canada
100147,6835,2020-12-14,375.5,Completed,UK
100148,5667,2020-05-04,2301.36,Closed,USA
100149,1341,2017-12-31,13749.1,Closed,USA
100150,5772,2019-12-16,9447.56,Pending,India
100151,4645,2023-03-22,10212.11,Completed,USA
100152,9219,2019-01-06,9324.73,Closed,UK
100153,6631,2020-09-08,6805.12,Completed,India
100154,9364,2018-12-22,4411.0,Closed,UK
100155,7282,2026-01-06,6683.15,Active,Canada
100156,4412,2019-04-10,11220.09,Pending,UK
100157,3631,2025-07-25,7095.1,Completed,Canada
100158,6787,2020-01-11,14063.92,Active,Canada
100159,5415,2022-06-28,8972.34,Closed,USA
100160,4760,2024-12-21,11154.5,Completed,USA
100161,5711,2024-01-02,7167.51,Pending,UK
100162,7165,2019-05-14,5290.48,Pending,UK
100163,6722,2020-04-21,14137.61,Closed,India
100164,3663,2018-08-08,2445.46,Completed,USA
100165,1659,2022-09-21,8752.61,Pending,USA
100166,6680,2023-04-24,11342.49,Completed,Australia
100167,2655,2022-07-18,8863.58,Closed,Canada
100168,5792,2020-05-20,6685.45,Pending,USA
100169,9099,2017-07-08,5662.51,Pending,Australia
100170,7363,2023-06-21,360.69,Pending,USA
100171,8707,2023-03-09,12592.06,Pending,Australia
100172,6473,2024-06-16,7078.86,Active,UK
100173,8864,2018-01-27,11509.86,Pending,UK
100174,2246,2020-05-25,9652.96,Pending,Australia
100175,1220,2019-10-13,1917.93,Pending,USA
100176,6091,2023-02-16,633.69,Pending,Canada
100177,6529,2018-12-31,14156.24,Active,Canada
100178,2817,2023-08-14,14069.58,Active,USA
100179,4168,2023-12-24,5180.34,Completed,UK
100180,5407,2023-01-19,9231.24,Completed,USA
100181,4824,2020-04-13,8691.18,Completed,USA
100182,1509,2022-06-26,8653.87,Completed,USA
100183,5969,2017-01-24,13223.67,Pending,Australia
100184,6739,2017-04-13,51.41,Pending,Australia
100185,7303,2019-02-08,9453.36,Completed,Canada
100186,6513,2022-10-14,12668.35,Closed,India
100187,5231,2020-02-02,9520.87,Pending,Australia
100188,3139,2018-07-29,14105.76,Active,Australia
100189,2025,2025-07-15,9523.28,Pending,USA
100190,4940,2021-09-24,13549.04,Closed,India
100191,6779,2017-11-10,9042.63,Active,Canada
100192,5916,2024-11-17,1242.49,Closed,Canada
100193,6851,2023-06-17,11421.39,Active,Australia
100194,8713,2020-02-15,10516.87,Completed,Australia
100195,1259,2019-11-02,7817.62,Active,India
100196,8858,2017-08-01,2225.36,Pending,Australia
100197,7972,2023-07-02,13277.93,Pending,USA
100198,2691,2023-08-28,6793.05,Closed,India
100199,3445,2020-05-23,11546.52,Closed,Canada
100200,5358,2025-05-02,1504.07,Pending,UK
100201,8739,2024-09-30,14922.68,Active,USA
100202,8748,2018-02-26,12896.44,Pending,USA
100203,7830,2021-03-23,8378.75,Pending,USA
100204,4772,2023-03-04,10918.03,Pending,India
100205,1258,2020-10-11,10876.25,Completed,UK
100206,4594,2021-08-22,9105.47,Pending,India
100207,9689,2022-02-21,12510.14,Pending,UK
100208,1091,2022-10-21,8253.8,Completed,Australia
100209,5251,2022-03-04,3901.41,Pending,USA
100210,6949,2024-05-21,2248.07,Closed,USA
100211,1569,2025-12-20,3216.72,Closed,Australia
100212,4064,2024-09-10,9094.93,Completed,India
100213,9526,2021-03-20,10440.45,Pending,India
100214,8440,2019-10-18,14521.67,Completed,USA
100215,3559,2024-01-08,2912.84,Active,Canada
100216,9877,2021-09-09,13582.6,Pending,India
100217,9039,2024-06-22,1836.67,Pending,Canada
100218,7048,2022-02-16,10942.46,Completed,USA
100219,8425,2020-06-28,12435.36,Active,Canada
100220,5630,2017-09-22,9835.23,Completed,Canada
100221,4380,2024-01-04,8960.41,Active,Australia
100222,7541,2020-02-15,2315.38,Completed,Australia
100223,7931,2020-10-23,13412.31,Active,UK
100224,2220,2020-10-19,7867.16,Closed,UK
100225,4620,2022-06-26,8998.47,Completed,UK
100226,2456,2024-12-16,9521.24,Active,Australia
100227,4704,2025-02-17,9630.89,Completed,UK
100228,7163,2017-02-23,4004.23,Closed,UK
100229,9929,2022-01-17,7883.74,Closed,Canada
100230,2129,2019-05-22,9144.47,Completed,USA
100231,9859,2020-11-05,2318.52,Completed,Canada
100232,4390,2017-03-12,3198.45,Pending,Australia
100233,1336,2025-06-01,2861.1,Closed,UK
100234,9909,2017-03-07,11509.55,Active,Canada
100235,7642,2019-05-27,9197.32,Completed,Australia
100236,4176,2018-06-09,11656.01,Pending,USA
100237,5800,2017-07-22,14015.25,Pending,Australia
100238,4807,2020-02-18,14501.4,Completed,Australia
100239,2005,2017-02-11,5258.4,Completed,India
100240,4836,2021-04-06,12747.52,Closed,Canada
100241,1629,2022-04-18,2509.39,Active,Canada
100242,6556,2019-04-24,7797.8,Active,India
100243,1501,2023-03-18,12627.05,Closed,India
100244,9469,2018-10-16,13684.97,Closed,UK
100245,9860,2017-11-12,2091.53,Closed,Australia
100246,2320,2022-04-15,9307.15,Closed,India
100247,5227,2021-01-08,7631.58,Pending,India
100248,9176,2021-08-04,10497.85,Completed,India
100249,8202,2018-04-17,6784.87,Completed,USA
100250,3983,2018-09-12,11145.36,Closed,Canada
100251,4710,2022-11-11,5781.55,Completed,UK
100252,2933,2019-03-06,9619.2,Completed,USA
100253,4554,2020-02-18,11804.53,Active,Canada
100254,9720,2024-12-19,8376.52,Active,Australia
100255,7099,2025-07-22,1872.7,Active,Canada
100256,5350,2023-01-19,12870.68,Active,Australia
100257,1477,2020-07-27,341.45,Closed,Canada
100258,1522,2021-11-21,13698.47,Closed,Canada
100259,8860,2018-04-18,6189.79,Active,Canada
100260,7452,2022-05-12,9876.36,Completed,UK
100261,5845,2024-04-25,6967.74,Completed,Australia
100262,3932,2024-12-17,12673.98,Completed,Australia
100263,9614,2023-05-31,3287.75,Completed,Australia
100264,3763,2025-06-27,961.48,Active,USA
100265,3639,2017-08-28,10810.45,Pending,Australia
100266,5928,2024-02-26,2178.37,Completed,Canada
100267,5541,2024-01-14,12543.4,Active,India
100268,3243,2022-07-19,1495.46,Pending,India
100269,7425,2019-11-24,1061.45,Active,UK
100270,5790,2019-11-27,11415.54,Pending,Canada
100271,5530,2018-08-27,2980.09,Closed,India
100272,2649,2018-04-24,8041.0,Pending,Australia
100273,4075,2024-10-06,1857.64,Closed,Canada
100274,6901,2022-12-04,10470.24,Pending,Australia
100275,4706,2025-05-08,12907.16,Closed,USA
100276,6501,2020-09-20,5261.57,Completed,USA
100277,4494,2019-06-26,4225.08,Completed,Canada
100278,5199,2023-08-20,1616.48,Pending,India
100279,5233,2017-10-05,2852.46,Active,Canada
100280,6381,2023-04-25,7230.61,Active,Canada
100281,9019,2019-07-19,11200.09,Active,India
100282,1020,2020-08-08,9947.57,Pending,Canada
100283,9962,2017-09-27,528.93,Pending,USA
100284,5297,2021-07-16,13392.39,Closed,USA
100285,8188,2025-12-13,6656.58,Closed,UK
