sensor_id,machine_id,timestamp,temperature,pressure,vibration,status
S-1000,M-300,2026-01-01 00:00:00,81.09,5.29,4.73,Maintenance
S-1001,M-100,2026-01-01 00:15:00,53.65,2.75,4.32,Running
S-1002,M-300,2026-01-01 00:30:00,93.3,2.4,3.82,Running
S-1003,M-300,2026-01-01 00:45:00,87.66,8.88,3.96,Warning
S-1004,M-300,2026-01-01 01:00:00,35.94,9.98,2.44,Maintenance
S-1005,M-400,2026-01-01 01:15:00,92.9,4.47,1.36,Running
S-1006,M-400,2026-01-01 01:30:00,91.98,5.61,0.18,Warning
S-1007,M-500,2026-01-01 01:45:00,74.92,1.21,4.99,Idle
S-1008,M-500,2026-01-01 02:00:00,36.99,3.51,4.65,Running
S-1009,M-100,2026-01-01 02:15:00,30.9,3.21,4.08,Running
S-1010,M-300,2026-01-01 02:30:00,88.32,4.16,3.83,Warning
S-1011,M-400,2026-01-01 02:45:00,64.26,8.9,0.28,Maintenance
S-1012,M-500,2026-01-01 03:00:00,93.23,5.6,4.54,Idle
S-1013,M-300,2026-01-01 03:15:00,79.33,9.71,3.87,Running
S-1014,M-500,2026-01-01 03:30:00,46.79,2.32,0.77,Warning
S-1015,M-300,2026-01-01 03:45:00,27.34,3.96,3.1,Idle
S-1016,M-400,2026-01-01 04:00:00,21.85,2.95,4.47,Maintenance
S-1017,M-300,2026-01-01 04:15:00,64.85,1.89,2.63,Maintenance
S-1018,M-100,2026-01-01 04:30:00,21.82,6.27,4.96,Idle
S-1019,M-300,2026-01-01 04:45:00,28.33,6.79,1.31,Running
S-1020,M-300,2026-01-01 05:00:00,76.5,5.81,0.33,Idle
S-1021,M-400,2026-01-01 05:15:00,93.11,5.86,2.3,Idle
S-1022,M-100,2026-01-01 05:30:00,63.36,5.09,2.84,Maintenance
S-1023,M-400,2026-01-01 05:45:00,83.15,4.4,3.1,Idle
S-1024,M-300,2026-01-01 06:00:00,25.13,6.87,1.3,Running
S-1025,M-200,2026-01-01 06:15:00,39.66,4.46,2.76,Warning
S-1026,M-300,2026-01-01 06:30:00,86.31,4.71,3.9,Warning
S-1027,M-500,2026-01-01 06:45:00,53.52,1.88,4.69,Idle
S-1028,M-200,2026-01-01 07:00:00,50.4,7.89,1.69,Maintenance
S-1029,M-500,2026-01-01 07:15:00,43.1,7.43,2.03,Idle
S-1030,M-500,2026-01-01 07:30:00,20.16,6.64,3.51,Maintenance
S-1031,M-200,2026-01-01 07:45:00,64.51,2.49,4.37,Idle
S-1032,M-200,2026-01-01 08:00:00,39.56,9.76,3.5,Running
S-1033,M-300,2026-01-01 08:15:00,34.26,3.7,1.74,Running
S-1034,M-500,2026-01-01 08:30:00,85.9,8.42,1.22,Warning
S-1035,M-300,2026-01-01 08:45:00,43.41,9.93,2.98,Maintenance
S-1036,M-200,2026-01-01 09:00:00,37.31,1.54,2.38,Idle
S-1037,M-200,2026-01-01 09:15:00,68.02,3.34,1.67,Idle
S-1038,M-200,2026-01-01 09:30:00,23.57,3.15,4.35,Running
S-1039,M-100,2026-01-01 09:45:00,85.83,1.55,4.81,Warning
S-1040,M-200,2026-01-01 10:00:00,27.29,2.51,1.98,Maintenance
S-1041,M-300,2026-01-01 10:15:00,32.31,8.86,2.47,Running
S-1042,M-500,2026-01-01 10:30:00,55.97,2.17,1.49,Maintenance
S-1043,M-300,2026-01-01 10:45:00,87.07,2.09,2.2,Maintenance
S-1044,M-500,2026-01-01 11:00:00,91.77,4.42,3.48,Running
S-1045,M-100,2026-01-01 11:15:00,35.89,9.06,0.82,Warning
S-1046,M-400,2026-01-01 11:30:00,76.47,2.32,1.57,Idle
S-1047,M-400,2026-01-01 11:45:00,27.04,2.13,0.86,Maintenance
S-1048,M-400,2026-01-01 12:00:00,59.45,6.62,1.86,Idle
S-1049,M-100,2026-01-01 12:15:00,37.39,4.7,4.25,Idle
S-1050,M-200,2026-01-01 12:30:00,84.87,8.05,2.0,Idle
S-1051,M-500,2026-01-01 12:45:00,93.07,3.98,4.32,Maintenance
S-1052,M-400,2026-01-01 13:00:00,81.43,4.81,2.17,Idle
S-1053,M-500,2026-01-01 13:15:00,88.23,2.77,4.19,Running
S-1054,M-400,2026-01-01 13:30:00,84.26,9.0,3.45,Maintenance
S-1055,M-400,2026-01-01 13:45:00,42.34,6.08,4.32,Maintenance
S-1056,M-500,2026-01-01 14:00:00,85.89,4.54,1.54,Maintenance
S-1057,M-200,2026-01-01 14:15:00,92.0,3.1,2.98,Maintenance
S-1058,M-300,2026-01-01 14:30:00,21.74,1.94,4.27,Maintenance
S-1059,M-300,2026-01-01 14:45:00,66.29,3.25,2.55,Running
S-1060,M-400,2026-01-01 15:00:00,79.81,1.77,2.87,Warning
S-1061,M-400,2026-01-01 15:15:00,60.79,1.9,2.49,Idle
S-1062,M-500,2026-01-01 15:30:00,21.16,9.03,0.74,Idle
S-1063,M-400,2026-01-01 15:45:00,92.57,2.14,1.02,Running
S-1064,M-500,2026-01-01 16:00:00,21.09,1.08,2.09,Idle
S-1065,M-500,2026-01-01 16:15:00,73.33,2.33,3.18,Idle
S-1066,M-200,2026-01-01 16:30:00,75.29,2.08,1.33,Warning
S-1067,M-200,2026-01-01 16:45:00,75.22,6.36,2.85,Running
S-1068,M-500,2026-01-01 17:00:00,60.93,6.56,2.5,Maintenance
S-1069,M-400,2026-01-01 17:15:00,56.43,7.28,4.97,Idle
S-1070,M-500,2026-01-01 17:30:00,43.67,8.94,1.57,Running
S-1071,M-400,2026-01-01 17:45:00,46.73,5.64,3.25,Warning
S-1072,M-300,2026-01-01 18:00:00,50.76,7.87,3.58,Warning
S-1073,M-400,2026-01-01 18:15:00,27.59,6.62,3.45,Idle
S-1074,M-200,2026-01-01 18:30:00,74.39,3.54,2.91,Idle
S-1075,M-400,2026-01-01 18:45:00,57.45,9.03,1.06,Running
S-1076,M-400,2026-01-01 19:00:00,26.07,5.14,1.39,Warning
S-1077,M-100,2026-01-01 19:15:00,45.18,2.53,4.6,Running
S-1078,M-100,2026-01-01 19:30:00,90.21,4.34,2.16,Warning
S-1079,M-100,2026-01-01 19:45:00,69.86,1.28,0.32,Running
S-1080,M-200,2026-01-01 20:00:00,88.66,7.08,0.6,Idle
S-1081,M-100,2026-01-01 20:15:00,82.7,6.75,3.97,Idle
S-1082,M-200,2026-01-01 20:30:00,31.36,4.81,2.99,Warning
S-1083,M-100,2026-01-01 20:45:00,51.57,8.92,0.66,Running
S-1084,M-500,2026-01-01 21:00:00,57.91,6.07,2.04,Idle
S-1085,M-200,2026-01-01 21:15:00,36.58,2.63,2.34,Warning
S-1086,M-100,2026-01-01 21:30:00,72.82,5.24,0.7,Warning
S-1087,M-500,2026-01-01 21:45:00,52.92,3.82,1.95,Warning
S-1088,M-200,2026-01-01 22:00:00,74.06,6.29,3.95,Idle
S-1089,M-300,2026-01-01 22:15:00,30.31,4.82,1.7,Running
S-1090,M-100,2026-01-01 22:30:00,37.72,4.99,0.99,Idle
S-1091,M-500,2026-01-01 22:45:00,82.66,4.2,2.72,Running
S-1092,M-100,2026-01-01 23:00:00,89.23,8.7,2.31,Warning
S-1093,M-400,2026-01-01 23:15:00,87.13,3.96,3.93,Running
S-1094,M-300,2026-01-01 23:30:00,72.37,9.42,3.6,Idle
S-1095,M-100,2026-01-01 23:45:00,22.34,1.29,1.17,Maintenance
S-1096,M-500,2026-01-02 00:00:00,33.69,9.57,0.64,Running
S-1097,M-400,2026-01-02 00:15:00,94.91,4.75,4.8,Running
S-1098,M-500,2026-01-02 00:30:00,92.41,6.36,0.17,Idle
S-1099,M-200,2026-01-02 00:45:00,87.65,3.66,1.61,Maintenance
S-1100,M-200,2026-01-02 01:00:00,63.0,2.52,1.95,Maintenance
S-1101,M-200,2026-01-02 01:15:00,42.53,2.31,4.39,Idle
S-1102,M-500,2026-01-02 01:30:00,83.75,1.08,1.74,Warning
S-1103,M-400,2026-01-02 01:45:00,85.49,3.65,4.59,Running
S-1104,M-100,2026-01-02 02:00:00,86.62,6.53,0.55,Maintenance
S-1105,M-300,2026-01-02 02:15:00,93.48,5.82,4.81,Warning
S-1106,M-200,2026-01-02 02:30:00,93.01,9.18,3.9,Idle
S-1107,M-300,2026-01-02 02:45:00,69.06,1.11,4.0,Warning
S-1108,M-100,2026-01-02 03:00:00,35.48,6.47,3.0,Idle
S-1109,M-400,2026-01-02 03:15:00,78.27,5.63,4.94,Maintenance
S-1110,M-500,2026-01-02 03:30:00,36.23,5.44,3.99,Warning
S-1111,M-500,2026-01-02 03:45:00,90.38,1.67,2.36,Idle
S-1112,M-500,2026-01-02 04:00:00,59.77,8.52,4.45,Maintenance
S-1113,M-300,2026-01-02 04:15:00,44.53,3.73,2.11,Maintenance
S-1114,M-500,2026-01-02 04:30:00,62.64,3.96,4.15,Running
S-1115,M-400,2026-01-02 04:45:00,28.17,9.54,1.24,Idle
S-1116,M-400,2026-01-02 05:00:00,56.68,4.82,2.04,Warning
S-1117,M-500,2026-01-02 05:15:00,57.2,6.04,4.47,Warning
S-1118,M-400,2026-01-02 05:30:00,62.9,1.89,2.31,Warning
S-1119,M-100,2026-01-02 05:45:00,24.95,2.36,1.9,Running
S-1120,M-300,2026-01-02 06:00:00,77.79,6.68,1.59,Maintenance
S-1121,M-400,2026-01-02 06:15:00,81.47,2.94,4.41,Running
S-1122,M-300,2026-01-02 06:30:00,26.89,5.67,0.21,Maintenance
S-1123,M-500,2026-01-02 06:45:00,44.6,3.48,2.75,Warning
S-1124,M-300,2026-01-02 07:00:00,22.18,7.05,1.12,Idle
S-1125,M-100,2026-01-02 07:15:00,31.2,8.06,3.71,Warning
S-1126,M-300,2026-01-02 07:30:00,85.4,7.41,0.42,Maintenance
S-1127,M-500,2026-01-02 07:45:00,46.33,3.21,3.78,Warning
S-1128,M-400,2026-01-02 08:00:00,64.7,2.33,0.75,Maintenance
S-1129,M-500,2026-01-02 08:15:00,56.03,5.23,3.64,Warning
S-1130,M-400,2026-01-02 08:30:00,49.13,1.45,0.75,Running
S-1131,M-200,2026-01-02 08:45:00,94.33,9.44,4.97,Idle
S-1132,M-200,2026-01-02 09:00:00,66.3,8.5,3.59,Maintenance
S-1133,M-400,2026-01-02 09:15:00,21.49,4.48,2.68,Maintenance
S-1134,M-200,2026-01-02 09:30:00,63.35,9.73,0.78,Warning
S-1135,M-200,2026-01-02 09:45:00,50.95,6.99,2.02,Maintenance
S-1136,M-300,2026-01-02 10:00:00,36.79,7.42,3.7,Maintenance
S-1137,M-100,2026-01-02 10:15:00,24.97,8.75,2.41,Idle
S-1138,M-500,2026-01-02 10:30:00,69.24,9.96,1.85,Idle
S-1139,M-100,2026-01-02 10:45:00,67.3,9.74,2.13,Running
S-1140,M-400,2026-01-02 11:00:00,79.41,6.82,0.65,Running
S-1141,M-300,2026-01-02 11:15:00,56.73,6.97,0.1,Running
S-1142,M-300,2026-01-02 11:30:00,44.41,7.11,0.47,Running
S-1143,M-500,2026-01-02 11:45:00,21.23,3.19,3.91,Warning
S-1144,M-500,2026-01-02 12:00:00,45.29,1.15,3.89,Warning
S-1145,M-200,2026-01-02 12:15:00,77.72,8.51,4.22,Idle
S-1146,M-400,2026-01-02 12:30:00,22.88,6.69,4.95,Running
S-1147,M-200,2026-01-02 12:45:00,42.17,1.09,2.1,Running
S-1148,M-300,2026-01-02 13:00:00,87.04,3.19,2.33,Maintenance
S-1149,M-100,2026-01-02 13:15:00,68.98,4.85,4.53,Idle
S-1150,M-400,2026-01-02 13:30:00,62.36,9.98,3.35,Idle
S-1151,M-200,2026-01-02 13:45:00,48.31,7.22,4.71,Warning
S-1152,M-300,2026-01-02 14:00:00,52.21,8.06,0.56,Idle
S-1153,M-500,2026-01-02 14:15:00,43.43,3.11,4.52,Idle
S-1154,M-200,2026-01-02 14:30:00,58.68,4.03,0.76,Warning
S-1155,M-100,2026-01-02 14:45:00,61.75,8.78,3.21,Running
S-1156,M-200,2026-01-02 15:00:00,48.23,8.59,1.81,Running
S-1157,M-400,2026-01-02 15:15:00,21.06,6.5,0.72,Running
S-1158,M-400,2026-01-02 15:30:00,22.8,1.79,0.57,Warning
S-1159,M-100,2026-01-02 15:45:00,63.44,6.03,3.79,Maintenance
S-1160,M-100,2026-01-02 16:00:00,85.53,7.07,2.41,Maintenance
S-1161,M-300,2026-01-02 16:15:00,67.82,6.03,4.39,Idle
S-1162,M-500,2026-01-02 16:30:00,76.58,3.57,2.2,Warning
S-1163,M-100,2026-01-02 16:45:00,75.57,8.18,3.33,Warning
S-1164,M-200,2026-01-02 17:00:00,27.75,8.65,4.36,Running
S-1165,M-400,2026-01-02 17:15:00,78.19,1.84,3.01,Warning
S-1166,M-100,2026-01-02 17:30:00,56.02,9.96,0.89,Running
S-1167,M-200,2026-01-02 17:45:00,72.79,3.58,0.27,Maintenance
S-1168,M-100,2026-01-02 18:00:00,94.34,2.01,2.16,Running
S-1169,M-300,2026-01-02 18:15:00,71.75,9.67,0.95,Maintenance
S-1170,M-500,2026-01-02 18:30:00,55.98,4.44,0.37,Warning
S-1171,M-300,2026-01-02 18:45:00,69.29,6.78,3.44,Maintenance
S-1172,M-400,2026-01-02 19:00:00,62.38,3.48,1.52,Idle
S-1173,M-400,2026-01-02 19:15:00,27.4,6.88,1.5,Idle
S-1174,M-400,2026-01-02 19:30:00,57.6,4.3,3.89,Running
S-1175,M-400,2026-01-02 19:45:00,60.55,4.46,3.91,Warning
S-1176,M-400,2026-01-02 20:00:00,77.52,9.21,0.98,Warning
S-1177,M-100,2026-01-02 20:15:00,24.2,1.89,3.9,Warning
S-1178,M-500,2026-01-02 20:30:00,90.68,5.77,4.68,Warning
S-1179,M-200,2026-01-02 20:45:00,55.66,8.58,4.12,Running
S-1180,M-200,2026-01-02 21:00:00,30.35,6.71,4.3,Idle
S-1181,M-300,2026-01-02 21:15:00,82.62,9.52,1.37,Warning
S-1182,M-400,2026-01-02 21:30:00,56.04,4.35,2.28,Idle
S-1183,M-200,2026-01-02 21:45:00,79.26,6.85,3.98,Running
S-1184,M-100,2026-01-02 22:00:00,22.61,6.54,2.86,Warning
S-1185,M-300,2026-01-02 22:15:00,34.14,1.57,3.05,Warning
S-1186,M-400,2026-01-02 22:30:00,58.77,6.45,4.28,Running
S-1187,M-300,2026-01-02 22:45:00,70.23,3.37,4.37,Idle
S-1188,M-200,2026-01-02 23:00:00,38.69,7.46,2.65,Running
S-1189,M-100,2026-01-02 23:15:00,71.06,8.74,1.47,Running
S-1190,M-500,2026-01-02 23:30:00,70.54,7.88,0.26,Idle
S-1191,M-300,2026-01-02 23:45:00,55.42,6.9,2.33,Maintenance
S-1192,M-500,2026-01-03 00:00:00,93.31,2.68,4.28,Idle
S-1193,M-300,2026-01-03 00:15:00,62.04,1.64,3.47,Running
S-1194,M-500,2026-01-03 00:30:00,36.82,3.57,0.54,Running
S-1195,M-400,2026-01-03 00:45:00,89.66,5.23,1.38,Warning
S-1196,M-500,2026-01-03 01:00:00,80.2,6.73,2.96,Idle
S-1197,M-400,2026-01-03 01:15:00,89.59,2.15,3.16,Running
S-1198,M-100,2026-01-03 01:30:00,73.74,3.07,1.54,Maintenance
